,dtm,MIP,Solar_MW,Solar_capacity_mwp,Solar_installedcapacity_mwp,Wind_MW,SS_Price,boa_MWh,DA_Price
45,2020-09-20T22:30:00Z,22.37,0.0,2130.5102003,2228.20874,130.114,21.0,0.0,33.27
46,2020-09-20T23:00:00Z,26.76,0.0,2130.5100893,2228.20874,131.008,16.0,0.0,33.3
47,2020-09-20T23:30:00Z,24.87,0.0,2130.5100893,2228.20874,113.63,24.87,0.0,33.3
48,2020-09-21T00:00:00Z,26.2,0.0,2130.5100893,2228.20874,95.558,47.3,0.0,31.02
49,2020-09-21T00:30:00Z,29.27,0.0,2130.5100893,2228.20874,75.574,29.27,0.0,31.02
50,2020-09-21T01:00:00Z,29.66,0.0,2130.5100893,2228.20874,49.818,29.66,0.0,30.03
51,2020-09-21T01:30:00Z,28.52,0.0,2130.5100893,2228.20874,21.114,28.52,0.0,30.03
52,2020-09-21T02:00:00Z,30.86,0.0,2130.5100893,2228.20874,1.892,46.5,0.0,36.95
53,2020-09-21T02:30:00Z,28.85,0.0,2130.5100893,2228.20874,0.0,28.85,0.0,36.95
54,2020-09-21T03:00:00Z,32.73,0.0,2130.5100893,2228.20874,0.0,43.29006,0.0,45.76
55,2020-09-21T03:30:00Z,31.37,0.0,2130.5100893,2228.20874,0.0,43.29006,0.0,45.76
56,2020-09-21T04:00:00Z,40.52,0.0,2130.5100893,2228.20874,0.0,54.22,0.0,52.1
57,2020-09-21T04:30:00Z,33.91,0.0,2130.5100893,2228.20874,0.0,20.5,0.0,52.1
58,2020-09-21T05:00:00Z,29.19,0.0,2130.5100893,2228.20874,0.0,2.0,0.0,75.86
59,2020-09-21T05:30:00Z,33.21,0.00027381225,2130.5100893,2228.20874,0.0,15.0,0.0,75.86
60,2020-09-21T06:00:00Z,35.76,27.91135745,2130.5100893,2228.20874,0.0,15.0,0.0,67.43
61,2020-09-21T06:30:00Z,42.68,83.48280146,2130.5100893,2228.20874,0.0,25.0,0.0,67.43
62,2020-09-21T07:00:00Z,39.7,177.833576264,2130.5100893,2228.20874,0.0,69.0,0.0,61.06
63,2020-09-21T07:30:00Z,45.54,273.3077024,2130.5100893,2228.20874,0.0,46.4,0.0,61.06
64,2020-09-21T08:00:00Z,41.65,395.845053,2130.5100893,2228.20874,0.0,22.5,0.0,62.37
65,2020-09-21T08:30:00Z,35.7,589.303009,2130.5100893,2228.20874,0.0,20.5,0.0,62.37
66,2020-09-21T09:00:00Z,38.36,803.864677,2130.5100893,2228.20874,0.0,20.5,0.0,58.85
78,2020-09-21T15:00:00Z,38.87,666.382012,2130.5100893,2228.20874,26.562,26.0,0.0,84.93
79,2020-09-21T15:30:00Z,44.98,447.667763,2130.5100893,2228.20874,26.686,44.32,0.0,84.93
80,2020-09-21T16:00:00Z,46.58,262.67616,2130.5000396,2228.225933,16.176,20.5,0.0,187.1
81,2020-09-21T16:30:00Z,47.81,116.085085,2130.5000396,2228.225933,0.824,60.0,0.0,187.1
82,2020-09-21T17:00:00Z,51.37,44.2768099,2130.5000396,2228.225933,5.468,20.5,0.0,124.0
83,2020-09-21T17:30:00Z,53.9,6.49477734,2130.5000396,2228.225933,11.972,59.9,0.0,124.0
84,2020-09-21T18:00:00Z,49.02,0.0,2130.5000396,2228.225933,24.054,27.0,0.0,66.0
85,2020-09-21T18:30:00Z,51.13,0.0,2130.5000396,2228.225933,50.126,69.0,0.0,66.0
86,2020-09-21T19:00:00Z,51.6,0.0,2130.5000396,2228.225933,92.848,24.36647,0.0,53.17
87,2020-09-21T19:30:00Z,45.69,0.0,2130.5000396,2228.225933,111.79,20.5,0.0,53.17
88,2020-09-21T20:00:00Z,40.23,0.0,2130.5000396,2228.225933,108.494,15.0,0.0,46.76
89,2020-09-21T20:30:00Z,37.99,0.0,2130.5000396,2228.225933,111.336,33.2,0.0,46.76
90,2020-09-21T21:00:00Z,43.51,0.0,2130.5000396,2228.225933,134.184,54.0,0.0,42.33
91,2020-09-21T21:30:00Z,38.79,0.0,2130.5000396,2228.225933,171.764,53.5,0.0,42.33
92,2020-09-21T22:00:00Z,37.43,0.0,2130.5000396,2228.225933,180.722,33.2,0.0,38.05
93,2020-09-21T22:30:00Z,42.85,0.0,2130.5000396,2228.225933,187.81,53.9,0.0,38.05
94,2020-09-21T23:00:00Z,41.33,0.0,2130.4966686,2228.244121,198.34,20.69884,0.0,37.1
95,2020-09-21T23:30:00Z,35.75,0.0,2130.4966686,2228.244121,189.904,30.0,0.0,37.1
96,2020-09-22T00:00:00Z,35.96,0.0,2130.4966686,2228.244121,176.48,49.5,0.0,35.9
97,2020-09-22T00:30:00Z,36.43,0.0,2130.4966686,2228.244121,150.66,49.0,0.0,35.9
98,2020-09-22T01:00:00Z,39.33,0.0,2130.4966686,2228.244121,100.572,47.25,0.0,35.9
99,2020-09-22T01:30:00Z,37.59,0.0,2130.4966686,2228.244121,69.954,30.0,0.0,35.9
100,2020-09-22T02:00:00Z,41.74,0.0,2130.4966686,2228.244121,64.158,20.5,0.0,37.06
101,2020-09-22T02:30:00Z,36.57,0.0,2130.4966686,2228.244121,57.286,0.6,0.0,37.06
102,2020-09-22T03:00:00Z,38.97,0.0,2130.4966686,2228.244121,67.714,0.6,0.0,38.03
103,2020-09-22T03:30:00Z,27.47,0.0,2130.4966686,2228.244121,82.054,0.0,0.0,38.03
104,2020-09-22T04:00:00Z,27.23,0.0,2130.4966686,2228.244121,67.11,0.0,0.0,48.02
105,2020-09-22T04:30:00Z,30.58,0.0,2130.4966686,2228.244121,66.958,2.0,0.0,48.02
106,2020-09-22T05:00:00Z,30.38,0.0,2130.4966686,2228.244121,32.652,30.0,0.0,65.6
107,2020-09-22T05:30:00Z,39.27,0.000228190376,2130.4966686,2228.244121,3.214,60.0,0.0,65.6
108,2020-09-22T06:00:00Z,52.34,28.7544746,2130.4966686,2228.244121,0.0,58.75,0.0,57.0
109,2020-09-22T06:30:00Z,56.24,95.5007746,2130.4966686,2228.244121,0.0,58.75,0.0,57.0
110,2020-09-22T07:00:00Z,53.88,204.33018,2130.4966686,2228.244121,0.0,61.5,0.0,52.85
111,2020-09-22T07:30:00Z,53.08,361.818884,2130.4966686,2228.244121,0.0,26.12,0.0,52.85
112,2020-09-22T08:00:00Z,52.25,572.499907,2130.4966686,2228.244121,0.0,58.75,0.0,42.0
113,2020-09-22T08:30:00Z,48.36,787.643795,2130.4966686,2228.244121,137.364,26.18,0.0,42.0
125,2020-09-22T14:30:00Z,40.58,784.246326,2130.4966686,2228.244121,533.854,61.2,0.0,37.59
126,2020-09-22T15:00:00Z,41.59,555.580377,2130.4966686,2228.244121,479.904,65.89,0.0,54.77
127,2020-09-22T15:30:00Z,48.25,402.54722,2130.4966686,2228.244121,402.654,70.2,0.0,54.77
128,2020-09-22T16:00:00Z,53.0,244.148747,2130.4966686,2228.244121,423.998,72.2,0.0,60.0
129,2020-09-22T16:30:00Z,53.76,104.478551245,2130.5772438,2228.3519523,500.964,69.45,0.0,60.0
130,2020-09-22T17:00:00Z,54.2,34.3854768286,2130.5772438,2228.3519523,573.002,67.2,0.0,62.0
131,2020-09-22T17:30:00Z,53.46,2.92035065111,2130.5772438,2228.3519523,614.726,28.0,0.0,62.0
132,2020-09-22T18:00:00Z,52.45,0.0,2130.5772438,2228.3519523,681.228,58.69,0.0,49.79
133,2020-09-22T18:30:00Z,52.8,0.0,2130.5772438,2228.3519523,768.718,26.83,0.0,49.79
134,2020-09-22T19:00:00Z,45.11,0.0,2130.5772438,2228.3519523,824.418,26.81,0.0,41.57
135,2020-09-22T19:30:00Z,42.88,0.0,2130.5772438,2228.3519523,828.712,26.87,0.0,41.57
136,2020-09-22T20:00:00Z,41.83,0.0,2130.5772438,2228.3519523,920.454,30.0,0.0,37.54
137,2020-09-22T20:30:00Z,41.36,0.0,2130.5772438,2228.3519523,1035.782,27.0,0.0,37.54
138,2020-09-22T21:00:00Z,39.43,0.0,2130.5772438,2228.3519523,922.984,54.9,0.0,36.56
139,2020-09-22T21:30:00Z,39.42,0.0,2130.5772438,2228.3519523,700.524,54.9,0.0,36.56
140,2020-09-22T22:00:00Z,35.14,0.0,2130.5772438,2228.3519523,520.94,41.75,0.0,35.86
141,2020-09-22T22:30:00Z,36.01,0.0,2130.5772438,2228.3519523,484.712,44.5,0.0,35.86
142,2020-09-22T23:00:00Z,39.37,0.0,2130.5772438,2228.3519523,476.906,44.5,0.0,34.77
143,2020-09-22T23:30:00Z,38.85,0.0,2130.5693358,2228.3870443,518.832,44.35,0.0,34.77
144,2020-09-23T00:00:00Z,38.93,0.0,2130.5693358,2228.3870443,515.608,49.45,0.0,33.7
145,2020-09-23T00:30:00Z,39.88,0.0,2130.5693358,2228.3870443,499.032,49.45,0.0,33.7
146,2020-09-23T01:00:00Z,40.74,0.0,2130.5693358,2228.3870443,583.9,49.4,0.0,32.63
147,2020-09-23T01:30:00Z,40.48,0.0,2130.5693358,2228.3870443,774.246,45.0,0.0,32.63
148,2020-09-23T02:00:00Z,40.58,0.0,2130.5693358,2228.3870443,706.636,30.0,0.0,35.22
149,2020-09-23T02:30:00Z,40.68,0.0,2130.5693358,2228.3870443,624.442,48.9,0.0,35.22
150,2020-09-23T03:00:00Z,40.9,0.0,2130.5693358,2228.3870443,545.084,48.9,0.0,39.85
151,2020-09-23T03:30:00Z,40.76,0.0,2130.5693358,2228.3870443,478.852,48.9,0.0,39.85
152,2020-09-23T04:00:00Z,42.9,0.0,2130.5693358,2228.3870443,422.282,53.89933,0.0,47.61
153,2020-09-23T04:30:00Z,44.34,0.0,2130.5693358,2228.3870443,427.608,54.45,0.0,47.61
154,2020-09-23T05:00:00Z,47.81,0.0,2130.5693358,2228.3870443,527.916,54.45,0.0,52.18
155,2020-09-23T05:30:00Z,41.32,0.0,2130.5693358,2228.3870443,430.272,49.0,0.0,52.18
156,2020-09-23T06:00:00Z,39.47,13.4851694,2130.5693358,2228.3870443,413.55,21.5,0.0,54.4
157,2020-09-23T06:30:00Z,51.64,55.5131818,2130.5693358,2228.3870443,298.804,26.57,0.0,54.4
158,2020-09-23T07:00:00Z,46.78,108.745382,2130.5693358,2228.3870443,279.406,26.57,0.0,52.73
159,2020-09-23T07:30:00Z,47.62,171.850893,2130.5693358,2228.3870443,226.984,30.0,0.0,52.73
160,2020-09-23T08:00:00Z,45.36,204.890427,2130.5693358,2228.3870443,183.086,62.0,0.0,54.13
161,2020-09-23T08:30:00Z,48.29,291.476002,2130.5693358,2228.3870443,83.636,62.0,0.0,54.13
162,2020-09-23T09:00:00Z,50.01,351.518908,2130.5693358,2228.3870443,74.742,62.0,0.0,50.36
163,2020-09-23T09:30:00Z,49.48,492.636489,2130.5693358,2228.3870443,64.484,62.0,0.0,50.36
164,2020-09-23T10:00:00Z,49.75,477.874273,2130.5693358,2228.3870443,56.14,60.0,0.0,54.0
165,2020-09-23T10:30:00Z,49.79,439.205491,2130.5693358,2228.3870443,63.98,60.0,0.0,54.0
166,2020-09-23T11:00:00Z,51.6,444.413856,2130.5693358,2228.3870443,67.996,69.95,0.0,52.0
167,2020-09-23T11:30:00Z,49.44,362.323722,2130.5693358,2228.3870443,63.42,68.89,0.0,52.0
168,2020-09-23T12:00:00Z,48.95,364.01231,2130.5693358,2228.3870443,127.936,68.89,0.0,47.51
169,2020-09-23T12:30:00Z,49.42,357.919894,2130.5693358,2228.3870443,270.09,27.27,0.0,47.51
170,2020-09-23T13:00:00Z,46.57,365.08425,2130.5693358,2228.3870443,450.964,27.2,0.0,46.0
171,2020-09-23T13:30:00Z,42.08,437.354396,2130.5693358,2228.3870443,475.082,21.33,0.0,46.0
172,2020-09-23T14:00:00Z,40.67,383.412622,2130.5693358,2228.3870443,482.378,20.5,0.0,54.99
173,2020-09-23T14:30:00Z,43.9,239.879688,2130.5693358,2228.3870443,376.52,83.5,0.0,54.99
174,2020-09-23T15:00:00Z,41.96,148.6295154,2130.5693358,2228.3870443,356.268,40.5,0.0,70.6
175,2020-09-23T15:30:00Z,45.74,117.4827857,2130.5693358,2228.3870443,358.144,50.5,0.0,70.6
176,2020-09-23T16:00:00Z,52.17,80.541888,2130.5693358,2228.3870443,350.41,40.5,0.0,75.32
177,2020-09-23T16:30:00Z,52.63,52.2135729,2130.5693358,2228.3870443,307.986,40.5,0.0,75.32
178,2020-09-23T17:00:00Z,52.9,11.4251855,2130.5629237,2228.407892,258.504,83.5,0.0,74.96
179,2020-09-23T17:30:00Z,54.22,0.798073152,2130.5629237,2228.407892,404.1,78.5,0.0,74.96
180,2020-09-23T18:00:00Z,55.52,0.0,2130.5629237,2228.407892,593.29,40.0,0.0,52.1
181,2020-09-23T18:30:00Z,47.39,0.0,2130.5629237,2228.407892,712.318,27.55,0.0,52.1
182,2020-09-23T19:00:00Z,44.9,0.0,2130.5629237,2228.407892,564.648,27.57,0.0,41.52
183,2020-09-23T19:30:00Z,43.24,0.0,2130.5629237,2228.407892,523.098,20.0,0.0,41.52
184,2020-09-23T20:00:00Z,44.27,0.0,2130.5629237,2228.407892,785.706,57.0,0.0,37.42
185,2020-09-23T20:30:00Z,40.42,0.0,2130.5629237,2228.407892,864.16,27.57,0.0,37.42
186,2020-09-23T21:00:00Z,38.62,0.0,2130.5629237,2228.407892,1030.81,26.7,0.0,39.09
187,2020-09-23T21:30:00Z,39.12,0.0,2130.5629237,2228.407892,1076.222,50.0,0.0,39.09
188,2020-09-23T22:00:00Z,39.66,0.0,2130.5629237,2228.407892,1080.29,49.95,0.0,34.98
189,2020-09-23T22:30:00Z,39.2,0.0,2130.5629237,2228.407892,1071.402,49.65,0.0,34.98
190,2020-09-23T23:00:00Z,31.77,0.0,2130.5629237,2228.407892,1090.222,48.0,0.0,33.02
191,2020-09-23T23:30:00Z,30.59,0.0,2130.5629237,2228.407892,1090.758,32.2,0.0,33.02
192,2020-09-24T00:00:00Z,28.91,0.0,2130.5761207,2228.442641,1090.704,26.0,0.0,29.27
193,2020-09-24T00:30:00Z,27.96,0.0,2130.5761207,2228.442641,1089.92,26.0,0.0,29.27
194,2020-09-24T01:00:00Z,26.2,0.0,2130.5761207,2228.442641,1082.018,22.0,0.0,26.98
195,2020-09-24T01:30:00Z,26.75,0.0,2130.5761207,2228.442641,1086.676,22.0,0.0,26.98
196,2020-09-24T02:00:00Z,26.63,0.0,2130.5761207,2228.442641,1074.314,10.39,0.0,31.41
197,2020-09-24T02:30:00Z,25.72,0.0,2130.5761207,2228.442641,1062.078,10.39,0.0,31.41
198,2020-09-24T03:00:00Z,27.46,0.0,2130.5761207,2228.442641,1062.302,30.0,0.0,39.73
199,2020-09-24T03:30:00Z,30.22,0.0,2130.5761207,2228.442641,1069.572,48.65,0.0,39.73
200,2020-09-24T04:00:00Z,40.18,0.0,2130.5761207,2228.442641,1069.854,48.59,0.0,48.09
201,2020-09-24T04:30:00Z,40.44,0.0,2130.5761207,2228.442641,1058.088,49.5,0.0,48.09
202,2020-09-24T05:00:00Z,39.06,0.0,2130.5761207,2228.442641,1023.78,49.5,0.0,48.58
203,2020-09-24T05:30:00Z,39.49,0.0,2130.5761207,2228.442641,1016.692,53.0,0.0,48.58
204,2020-09-24T06:00:00Z,45.9,4.62737937,2130.5761207,2228.442641,957.156,60.0,0.0,49.88
205,2020-09-24T06:30:00Z,53.79,42.4694647,2130.5761207,2228.442641,885.4,58.5,0.0,49.88
206,2020-09-24T07:00:00Z,52.03,148.952505,2130.5761207,2228.442641,697.116,58.5,0.0,47.23
207,2020-09-24T07:30:00Z,50.09,286.987153,2130.5761207,2228.442641,605.784,65.0,0.0,47.23
208,2020-09-24T08:00:00Z,52.13,564.32448,2130.5761207,2228.442641,636.91,64.5,0.0,44.56
209,2020-09-24T08:30:00Z,51.04,810.075528,2130.5761207,2228.442641,682.958,25.0,0.0,44.56
218,2020-09-24T13:00:00Z,42.92,761.575848,2130.5761207,2228.442641,845.692,58.5,0.0,37.77
219,2020-09-24T13:30:00Z,44.0,605.634933,2130.5761207,2228.442641,737.48,58.5,0.0,37.77
220,2020-09-24T14:00:00Z,48.49,394.013605,2130.5761207,2228.442641,744.216,56.71,0.0,44.11
221,2020-09-24T14:30:00Z,43.73,256.1673202,2130.5761207,2228.442641,693.018,67.71,0.0,44.11
222,2020-09-24T15:00:00Z,49.38,178.8251421,2130.5761207,2228.442641,550.352,76.71,0.0,50.88
223,2020-09-24T15:30:00Z,54.6,118.5796333,2130.5761207,2228.442641,384.712,72.56,0.0,50.88
224,2020-09-24T16:00:00Z,59.35,90.4866717,2130.5761207,2228.442641,287.354,70.65072,0.0,63.74
225,2020-09-24T16:30:00Z,61.84,48.6721604,2130.5761207,2228.442641,185.198,75.56,0.0,63.74
226,2020-09-24T17:00:00Z,64.24,21.80285488,2130.5761207,2228.442641,65.164,82.71,0.0,69.15
227,2020-09-24T17:30:00Z,65.02,1.189939439,2130.6347524,2228.5285136,1.882,87.71,0.0,69.15
228,2020-09-24T18:00:00Z,73.08,0.0,2130.6347524,2228.5285136,0.0,88.0,0.0,51.19
229,2020-09-24T18:30:00Z,69.74,0.0,2130.6347524,2228.5285136,0.0,85.0,0.0,51.19
230,2020-09-24T19:00:00Z,61.76,0.0,2130.6347524,2228.5285136,0.0,75.0,0.0,40.0
231,2020-09-24T19:30:00Z,51.6,0.0,2130.6347524,2228.5285136,0.0,30.11,0.0,40.0
232,2020-09-24T20:00:00Z,42.52,0.0,2130.6347524,2228.5285136,23.99,56.0,0.0,33.1
233,2020-09-24T20:30:00Z,37.72,0.0,2130.6347524,2228.5285136,61.272,56.0,0.0,33.1
234,2020-09-24T21:00:00Z,37.85,0.0,2130.6347524,2228.5285136,72.658,55.0,0.0,47.08
235,2020-09-24T21:30:00Z,40.74,0.0,2130.6347524,2228.5285136,37.322,51.0,0.0,47.08
236,2020-09-24T22:00:00Z,43.09,0.0,2130.6347524,2228.5285136,23.382,50.95,0.0,49.7
237,2020-09-24T22:30:00Z,46.17,0.0,2130.6347524,2228.5285136,148.312,53.0,0.0,49.7
238,2020-09-24T23:00:00Z,44.97,0.0,2130.6346334,2228.5285136,333.818,52.0,0.0,43.06
239,2020-09-24T23:30:00Z,41.47,0.0,2130.6346334,2228.5285136,649.012,26.66,0.0,43.06
240,2020-09-25T00:00:00Z,36.0,0.0,2130.6346334,2228.5285136,821.724,2.0,0.0,33.97
241,2020-09-25T00:30:00Z,33.89,0.0,2130.6346334,2228.5285136,885.702,2.0,0.0,33.97
242,2020-09-25T01:00:00Z,26.3,0.0,2130.6346334,2228.5285136,980.148,2.0,0.0,26.49
243,2020-09-25T01:30:00Z,21.33,0.0,2130.6346334,2228.5285136,997.036,2.0,0.0,26.49
244,2020-09-25T02:00:00Z,15.12,0.0,2130.6346334,2228.5285136,1012.27,23.49,0.0,28.2
250,2020-09-25T05:00:00Z,32.78,0.0,2130.6346334,2228.5285136,923.414,5.0,0.0,54.0
251,2020-09-25T05:30:00Z,37.45,0.0,2130.6346334,2228.5285136,835.068,20.5,0.0,54.0
252,2020-09-25T06:00:00Z,28.84,0.810965691,2130.6346334,2228.5285136,808.204,20.5,0.0,54.6
253,2020-09-25T06:30:00Z,42.81,16.40267965,2130.6346334,2228.5285136,804.13,60.0,0.0,54.6
254,2020-09-25T07:00:00Z,48.34,59.3526828,2130.6346334,2228.5285136,802.714,62.0,0.0,53.32
255,2020-09-25T07:30:00Z,46.22,164.7159486,2130.6346334,2228.5285136,747.514,25.0,0.0,53.32
256,2020-09-25T08:00:00Z,49.22,253.39858,2130.6346334,2228.5285136,746.138,65.0,0.0,45.57
257,2020-09-25T08:30:00Z,41.77,345.467671,2130.6346334,2228.5285136,752.62,26.67892,0.0,45.57
258,2020-09-25T09:00:00Z,41.71,460.104294,2130.6346334,2228.5285136,764.658,57.88,0.0,46.0
259,2020-09-25T09:30:00Z,37.93,505.906135,2130.6346334,2228.5285136,791.832,57.88,0.0,46.0
260,2020-09-25T10:00:00Z,39.98,450.666141,2130.6346334,2228.5285136,870.852,57.88,0.0,38.48
261,2020-09-25T10:30:00Z,40.49,440.814436,2130.6346334,2228.5285136,860.8,57.88,0.0,38.48
262,2020-09-25T11:00:00Z,37.75,384.432329,2130.6346334,2228.5285136,923.31,51.9,0.0,33.51
263,2020-09-25T11:30:00Z,37.14,355.67159,2130.6346334,2228.5285136,897.654,51.5,0.0,33.51
264,2020-09-25T12:00:00Z,36.49,374.463212,2130.6346334,2228.5285136,740.266,63.9,0.0,32.26
265,2020-09-25T12:30:00Z,34.36,354.63637,2130.6346334,2228.5285136,792.006,50.96,0.0,32.26
266,2020-09-25T13:00:00Z,28.55,394.721921,2130.6346334,2228.5285136,955.308,17.08,0.0,29.91
267,2020-09-25T13:30:00Z,25.45,360.899892,2130.6346334,2228.5285136,984.836,0.55,0.0,29.91
268,2020-09-25T14:00:00Z,23.65,389.313378,2130.6346334,2228.5285136,961.802,0.55,0.0,42.0
269,2020-09-25T14:30:00Z,27.68,399.19824,2130.6346334,2228.5285136,912.356,18.01,0.0,42.0
270,2020-09-25T15:00:00Z,37.3,302.908723,2130.6346334,2228.5285136,857.782,50.25,0.0,47.13
271,2020-09-25T15:30:00Z,39.62,249.466215,2130.6346334,2228.5285136,817.512,61.5,0.0,47.13
272,2020-09-25T16:00:00Z,41.24,167.625806,2130.6346334,2228.5285136,888.178,9.15,0.0,59.39
273,2020-09-25T16:30:00Z,52.66,80.9596516,2130.6346334,2228.5285136,833.214,63.0,0.0,59.39
274,2020-09-25T17:00:00Z,55.58,37.5893624,2130.6346334,2228.5285136,771.858,63.0,0.0,62.91
275,2020-09-25T17:30:00Z,56.71,2.777122018,2130.6346334,2228.5285136,785.344,63.0,0.0,62.91
276,2020-09-25T18:00:00Z,59.11,0.0,2130.6701047,2228.5912455,735.336,63.0,0.0,54.0
277,2020-09-25T18:30:00Z,59.3,0.0,2130.6701047,2228.5912455,622.126,63.0,0.0,54.0
278,2020-09-25T19:00:00Z,58.49,0.0,2130.6701047,2228.5912455,642.832,63.0,0.0,42.97
279,2020-09-25T19:30:00Z,55.5,0.0,2130.6701047,2228.5912455,700.846,63.0,0.0,42.97
280,2020-09-25T20:00:00Z,49.82,0.0,2130.6701047,2228.5912455,738.512,63.0,0.0,33.14
281,2020-09-25T20:30:00Z,51.55,0.0,2130.6701047,2228.5912455,741.792,63.0,0.0,33.14
282,2020-09-25T21:00:00Z,45.97,0.0,2130.6701047,2228.5912455,761.698,58.75,0.0,31.8
283,2020-09-25T21:30:00Z,44.19,0.0,2130.6701047,2228.5912455,772.976,54.75,0.0,31.8
284,2020-09-25T22:00:00Z,51.07,0.0,2130.6701047,2228.5912455,771.328,54.75,0.0,28.71
285,2020-09-25T22:30:00Z,37.89,0.0,2130.6701047,2228.5912455,768.646,54.0,0.0,28.71
286,2020-09-25T23:00:00Z,44.83,0.0,2130.6757527,2228.6184545,766.416,50.5,0.0,26.2
287,2020-09-25T23:30:00Z,38.67,0.0,2130.6757527,2228.6184545,772.982,50.5,0.0,26.2
288,2020-09-26T00:00:00Z,35.95,0.0,2130.6757527,2228.6184545,775.96,52.0,0.0,23.23
289,2020-09-26T00:30:00Z,33.46,0.0,2130.6757527,2228.6184545,800.032,52.0,0.0,23.23
290,2020-09-26T01:00:00Z,34.29,0.0,2130.6757527,2228.6184545,841.102,52.0,0.0,20.57
291,2020-09-26T01:30:00Z,34.35,0.0,2130.6757527,2228.6184545,890.534,50.5,0.0,20.57
292,2020-09-26T02:00:00Z,29.64,0.0,2130.6757527,2228.6184545,913.018,27.05,0.0,22.3
293,2020-09-26T02:30:00Z,28.82,0.0,2130.6757527,2228.6184545,952.288,17.32,0.0,22.3
294,2020-09-26T03:00:00Z,27.48,0.0,2130.6757527,2228.6184545,986.63,27.82,0.0,25.82
296,2020-09-26T04:00:00Z,25.98,0.0,2130.6757527,2228.6184545,1060.152,1.5,0.0,28.92
